City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Deputatskiy,RU,69.3,139.9,4.87,97,100,1.9,overcast clouds
164,Almaznyy,RU,48.0448,40.045,53.53,80,10,4.47,clear sky
165,Faanui,PF,-16.4833,-151.75,81.36,70,13,6.46,few clouds
166,Warrnambool,AU,-38.3833,142.4833,47.8,90,94,7.38,overcast clouds
167,Eyl,SO,7.9803,49.8164,81.16,72,6,9.6,clear sky
168,Youkounkoun,GN,12.5333,-13.1333,94.62,12,10,7.23,clear sky
169,Birao,CF,10.2849,22.7882,86.05,43,80,6.51,broken clouds
170,Taoudenni,ML,22.6783,-3.9836,83.32,22,0,10.25,clear sky
171,Fortuna,US,40.5982,-124.1573,61.93,74,0,12.66,clear sky
172,Saint George,US,37.1041,-113.5841,67.78,18,0,6.91,clear sky
173,Mount Isa,AU,-20.7333,139.5,65.97,100,100,5.75,light intensity drizzle
174,Mar Del Plata,AR,-38.0023,-57.5575,75.94,57,0,12.66,clear sky
175,Lavrentiya,RU,65.5833,-171.0,24.21,80,75,4.79,broken clouds
176,Crotone,IT,39.0851,17.1178,59.95,65,6,5.17,clear sky
177,Sabzevar,IR,36.2126,57.6819,70.88,43,0,13.8,clear sky
178,Amazar,RU,53.858,120.875,29.3,80,100,4.79,overcast clouds
179,Aras,ES,42.5617,-2.356,50.41,82,40,1.14,scattered clouds
180,Takapau,NZ,-40.0333,176.35,52.74,94,100,3.18,overcast clouds
181,Sechura,PE,-5.5569,-80.8222,79.47,59,60,14.03,broken clouds
182,Quatre Cocos,MU,-20.2078,57.7625,75.31,69,100,17.31,light rain
183,Barra Patuca,HN,15.8,-84.2833,82.72,68,7,9.75,clear sky
184,Yinchuan,CN,38.4681,106.2731,63.93,16,81,9.84,broken clouds
185,Kieta,PG,-6.2167,155.6333,80.89,78,34,3.4,light rain
186,Raga,SS,8.4596,25.678,85.14,48,88,9.78,overcast clouds
187,Bengkulu,ID,-3.8004,102.2655,75.33,93,100,5.57,overcast clouds
188,Ous,RU,60.9058,61.5186,27.88,98,33,2.86,scattered clouds
189,Vagur,FO,61.4732,-6.8119,43.9,79,100,20.2,overcast clouds
190,Luderitz,NA,-26.6481,15.1594,56.88,62,0,20.2,clear sky
191,Husavik,IS,66.0449,-17.3389,42.85,83,100,1.72,overcast clouds
192,Bundaberg,AU,-24.85,152.35,65.21,97,75,9.22,broken clouds
193,Baruun-Urt,MN,46.6806,113.2792,39.61,45,100,14.63,light rain
194,Rancho Palos Verdes,US,33.7445,-118.387,87.94,29,0,6.91,clear sky
195,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,75,10.36,broken clouds
196,Mantua,IT,45.1667,10.7833,54.64,86,43,2.62,scattered clouds
197,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,80,96,16.31,overcast clouds
198,Beloha,MG,-25.1667,45.05,73.78,65,82,7.52,broken clouds
199,Hovd,MN,48.0056,91.6419,25.65,42,15,4.79,few clouds
200,Katangli,RU,51.7102,143.2326,28.78,97,100,12.68,light snow
201,Sorland,NO,67.667,12.6934,42.13,83,100,12.88,overcast clouds
202,Wanning,CN,18.8003,110.3967,78.64,93,13,10.96,few clouds
203,Deyang,CN,31.1302,104.382,65.77,74,100,6.31,overcast clouds
204,Goundam,ML,16.4145,-3.6708,84.34,12,3,10.56,clear sky
