City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Dorogobuzh,RU,2022-04-22 08:02:19,54.915,33.2972,49.98,65,4,6.38
162,Palana,RU,2022-04-22 08:02:19,59.1167,159.9667,20.41,86,96,2.57
163,Kaohsiung,TW,2022-04-22 08:00:08,22.6163,120.3133,85.95,78,75,11.99
164,Nouakchott,MR,2022-04-22 08:02:20,18.0858,-15.9785,66.13,34,37,11.25
165,Batticaloa,LK,2022-04-22 08:02:20,7.7102,81.6924,85.82,69,82,7.0
166,Luis Correia,BR,2022-04-22 08:02:21,-2.8792,-41.6669,75.56,91,84,8.39
167,Sao Filipe,CV,2022-04-22 08:02:21,14.8961,-24.4956,72.16,80,70,6.82
168,Tomatlan,MX,2022-04-22 08:02:21,19.9333,-105.25,66.4,88,2,2.33
169,Carauari,BR,2022-04-22 07:59:25,-4.8828,-66.8958,69.1,99,56,0.58
170,Faya,SA,2022-04-22 08:02:22,18.3851,42.4509,75.04,22,13,4.36
171,Edson,CA,2022-04-22 08:01:35,53.5835,-116.4356,27.12,97,62,1.59
172,Sioux Lookout,CA,2022-04-22 08:00:11,50.1001,-91.917,16.23,99,100,4.12
173,Qasigiannguit,GL,2022-04-22 07:59:23,68.8193,-51.1922,22.64,91,100,10.45
174,Port Blair,IN,2022-04-22 08:02:23,11.6667,92.75,89.64,66,20,6.91
175,Hambantota,LK,2022-04-22 08:02:23,6.1241,81.1185,80.94,89,75,11.5
176,Maceio,BR,2022-04-22 07:59:19,-9.6658,-35.7353,74.64,94,100,4.61
177,Meulaboh,ID,2022-04-22 08:02:24,4.1363,96.1285,85.03,69,100,8.95
178,Carnaiba,BR,2022-04-22 08:02:24,-8.7,-37.6667,70.65,92,89,7.81
179,Bethel,US,2022-04-22 08:02:25,41.3712,-73.414,49.62,83,27,3.0
180,Airai,TL,2022-04-22 07:58:01,-8.9266,125.4092,68.4,68,100,4.18
181,Barsovo,RU,2022-04-22 08:02:25,61.1667,73.1667,15.93,77,100,14.63
182,Ergani,TR,2022-04-22 08:03:25,38.2653,39.7621,68.4,23,39,8.46
183,Mana,GF,2022-04-22 08:03:26,5.6592,-53.7767,74.16,92,100,2.33
184,Farafangana,MG,2022-04-22 08:03:26,-22.8167,47.8333,78.64,80,60,6.58
185,Makakilo City,US,2022-04-22 08:03:04,21.3469,-158.0858,73.18,79,100,0.0
186,Hutchinson,US,2022-04-22 08:01:11,38.0608,-97.9298,71.74,81,100,25.32
187,Lamu,KE,2022-04-22 08:03:27,-2.2717,40.902,88.02,79,100,4.18
188,Necochea,AR,2022-04-22 08:00:07,-38.5473,-58.7368,59.29,48,93,20.89
189,Saint-Philippe,RE,2022-04-22 08:03:28,-21.3585,55.7679,83.79,82,34,12.41
190,Lynn Haven,US,2022-04-22 08:03:28,30.2455,-85.6483,65.98,81,0,3.44
191,Haines Junction,CA,2022-04-22 08:03:29,60.7522,-137.5108,23.4,93,7,3.33
192,Muros,ES,2022-04-22 07:58:48,42.7762,-9.0603,48.69,93,100,5.84
193,Fredericksburg,US,2022-04-22 08:00:01,38.3032,-77.4605,55.31,84,40,0.0
194,Marienburg,PL,2022-04-22 08:03:30,54.0359,19.0266,55.87,66,91,12.59
195,Mitu,CO,2022-04-22 08:00:05,1.1983,-70.1733,70.74,100,100,1.01
196,Havre-Saint-Pierre,CA,2022-04-22 08:03:31,50.2334,-63.5986,32.36,100,100,9.22
197,Strasice,CZ,2022-04-22 08:03:31,49.7355,13.7576,48.43,80,52,12.17
198,Tuktoyaktuk,CA,2022-04-22 08:03:31,69.4541,-133.0374,-0.94,94,6,10.27
199,Octeville,FR,2022-04-22 08:03:32,49.6261,-1.6435,52.29,82,75,17.27
200,Khatanga,RU,2022-04-22 08:03:32,71.9667,102.5,18.1,84,95,12.59
201,Taltal,CL,2022-04-22 08:01:05,-25.4,-70.4833,62.19,85,37,0.54
202,Ponta Do Sol,PT,2022-04-22 08:03:33,32.6667,-17.1,65.01,77,60,16.51
203,Victoria,HK,2022-04-22 08:01:15,22.2855,114.1577,84.25,83,43,5.01
204,Cidreira,BR,2022-04-22 08:03:33,-30.1811,-50.2056,64.63,82,0,6.38
205,Saint-Georges,GD,2022-04-22 08:03:34,12.0564,-61.7485,75.63,81,86,11.39
206,Rundu,NA,2022-04-22 08:03:34,-17.9333,19.7667,71.17,45,0,6.46
207,Vaini,TO,2022-04-22 08:03:34,-21.2,-175.2,73.56,100,20,2.3
208,Barrow,US,2022-04-22 08:03:35,71.2906,-156.7887,3.22,85,0,18.41
209,Jining,CN,2022-04-22 08:03:35,35.405,116.5814,77.83,24,68,12.26
210,Chimbote,PE,2022-04-22 08:03:35,-9.0853,-78.5783,64.67,94,92,6.15
211,Surt,LY,2022-04-22 08:03:36,31.2089,16.5887,67.35,72,70,16.15
212,Lazaro Cardenas,MX,2022-04-22 08:03:27,17.9583,-102.2,74.25,87,29,2.71
213,Muriwai Beach,NZ,2022-04-22 08:03:36,-36.8167,174.45,62.35,71,13,20.94
214,Magdagachi,RU,2022-04-22 08:03:37,53.45,125.8,44.47,22,100,8.32
215,Hovd,MN,2022-04-22 08:03:37,48.0056,91.6419,59.22,24,98,35.43
216,Dengzhou,CN,2022-04-22 08:03:37,37.8086,120.7508,51.06,61,100,6.51
217,Cap Malheureux,MU,2022-04-22 08:03:38,-19.9842,57.6142,83.46,71,92,8.99
218,Barra,BR,2022-04-22 08:03:38,-11.0894,-43.1417,71.65,75,33,3.74
219,Chaman,PK,2022-04-22 08:03:39,30.9236,66.4512,81.09,9,2,9.42
220,Vardo,NO,2022-04-22 08:03:39,70.3705,31.1107,39.18,87,75,12.66
221,Hamilton,US,2022-04-22 08:00:01,39.1834,-84.5333,52.93,95,100,0.0
222,Namibe,AO,2022-04-22 08:03:39,-15.1961,12.1522,78.8,62,80,1.01
223,Ornskoldsvik,SE,2022-04-22 08:03:40,63.2909,18.7153,47.35,57,78,9.22
224,Chuy,UY,2022-04-22 08:04:40,-33.6971,-53.4616,53.13,83,67,2.3
225,Luganville,VU,2022-04-22 08:04:41,-15.5333,167.1667,80.37,82,94,5.75
226,Turayf,SA,2022-04-22 08:04:41,31.6725,38.6637,76.33,18,100,10.0
227,Vidim,RU,2022-04-22 08:04:41,56.4088,103.1106,41.97,61,100,8.75
228,Sakakah,SA,2022-04-22 08:03:09,29.9697,40.2064,82.98,12,68,12.12
229,Nehe,CN,2022-04-22 08:04:42,48.4833,124.8333,58.51,14,100,10.13
230,Rio Grande,BR,2022-04-22 08:04:42,-32.035,-52.0986,61.59,80,40,5.68
231,Diplo,PK,2022-04-22 08:04:43,24.4667,69.584,101.7,19,4,18.01
232,Batemans Bay,AU,2022-04-22 08:04:43,-35.7167,150.1833,62.1,77,66,3.29
233,Dutse,NG,2022-04-22 08:04:43,11.7594,9.3392,90.21,41,100,13.29
234,Rio Claro,BR,2022-04-22 08:02:51,-22.4114,-47.5614,65.39,78,0,2.55
235,Palmer,US,2022-04-22 08:04:44,42.1584,-72.3287,48.38,79,0,4.61
236,Victor Harbor,AU,2022-04-22 08:04:44,-35.5667,138.6167,59.0,65,29,1.99
237,Lorengau,PG,2022-04-22 08:04:45,-2.0226,147.2712,83.39,73,100,8.79
238,Asekeyevo,RU,2022-04-22 08:04:45,53.5742,52.7972,52.09,48,95,13.24
239,Khani,GE,2022-04-22 08:04:45,41.9563,42.9566,51.37,57,20,3.44
240,Ribeira Grande,PT,2022-04-22 08:04:46,38.5167,-28.7,57.6,58,75,9.22
241,Sistranda,NO,2022-04-22 08:04:46,63.7256,8.834,44.56,74,93,21.43
242,Tias,ES,2022-04-22 08:04:47,28.9611,-13.645,58.68,77,20,2.3
243,Rosarito,MX,2022-04-22 08:04:47,32.3333,-117.0333,60.48,89,29,4.7
244,Samur,RU,2022-04-22 08:04:47,41.8253,48.486,61.23,56,60,8.57
245,Gubbi,IN,2022-04-22 08:04:48,13.3106,76.9444,97.59,15,9,10.18
246,Lubyany,RU,2022-04-22 08:04:48,56.0378,51.4,42.91,49,3,9.28
247,Clyde River,CA,2022-04-22 08:04:48,70.4692,-68.5914,-7.37,84,75,3.44
248,Itacoatiara,BR,2022-04-22 08:02:38,-3.1431,-58.4442,72.5,99,100,1.63
249,Fare,PF,2022-04-22 08:04:49,-16.7,-151.0167,78.98,81,100,17.16
250,Abha,SA,2022-04-22 08:04:49,18.2164,42.5053,79.05,18,0,6.91
251,Podor,MR,2022-04-22 08:04:50,16.6527,-14.9587,82.83,11,6,13.71
252,Baker City,US,2022-04-22 08:04:50,44.7749,-117.8344,32.59,91,0,5.75
253,Constitucion,CL,2022-04-22 08:04:50,-35.3333,-72.4167,52.2,92,100,9.28
254,Luanda,AO,2022-04-22 08:04:51,-8.8368,13.2343,77.92,82,87,4.09
255,Luderitz,NA,2022-04-22 08:04:51,-26.6481,15.1594,70.68,53,1,14.2
256,Cairns,AU,2022-04-22 08:01:06,-16.9167,145.7667,78.06,97,100,17.27
257,Guilin,CN,2022-04-22 08:04:52,25.2819,110.2864,72.73,89,100,2.64
258,Ulaangom,MN,2022-04-22 08:04:52,49.9811,92.0667,52.66,41,100,14.52
259,Churapcha,RU,2022-04-22 08:04:53,62.0025,132.4325,31.84,64,100,1.34
260,Lincoln,US,2022-04-22 08:04:53,40.8,-96.667,63.18,68,75,13.8
261,Shitanjing,CN,2022-04-22 08:04:53,39.2342,106.3439,69.51,9,0,16.96
262,Asau,RO,2022-04-22 08:04:54,46.4333,26.4,47.32,44,100,4.18
263,Grand Bank,CA,2022-04-22 08:04:54,47.0999,-55.765,32.99,78,100,7.2
264,Avarua,CK,2022-04-22 08:04:55,-21.2078,-159.775,78.85,61,20,16.11
265,Ahipara,NZ,2022-04-22 08:04:55,-35.1667,173.1667,62.28,62,68,20.22
266,Qobustan,AZ,2022-04-22 08:04:55,40.0824,49.412,65.48,44,6,18.7
267,Avera,US,2022-04-22 08:04:56,33.194,-82.5271,55.38,91,10,3.62
268,Talakan,RU,2022-04-22 08:04:56,50.3167,130.3667,47.34,32,100,7.58
269,Wiener Neustadt,AT,2022-04-22 08:04:56,47.8,16.25,50.83,80,100,4.52
270,Itupiranga,BR,2022-04-22 08:04:57,-5.1347,-49.3267,73.72,98,66,0.34
271,Rawson,AR,2022-04-22 08:05:57,-43.3002,-65.1023,51.62,63,100,30.98
272,Gunjur,GM,2022-04-22 08:05:58,13.2019,-16.7339,73.47,64,0,6.91
273,Mon,IN,2022-04-22 08:05:58,26.75,95.1,79.52,62,14,2.71
274,Tsogni,GA,2022-04-22 08:05:58,-2.7942,10.0988,78.8,86,100,5.66
275,Evensk,RU,2022-04-22 08:05:59,61.95,159.2333,22.98,78,100,5.08
276,Gorom-Gorom,BF,2022-04-22 08:05:59,14.4439,-0.2361,89.02,9,99,8.23
277,Mukerian,IN,2022-04-22 08:05:59,31.9506,75.6158,99.3,13,0,9.24
278,Kendari,ID,2022-04-22 08:06:00,-3.945,122.4989,87.28,61,79,4.74
279,Berlevag,NO,2022-04-22 08:06:00,70.8578,29.0864,39.15,87,75,14.97
280,Hammerfest,NO,2022-04-22 08:06:01,70.6634,23.6821,37.85,93,75,5.75
281,Ormara,PK,2022-04-22 08:06:01,25.2088,64.6357,81.84,69,0,15.37
282,Dingle,PH,2022-04-22 08:06:01,10.9995,122.6711,85.73,68,44,11.74
283,Kaifeng,CN,2022-04-22 08:06:02,34.7911,114.3483,76.51,26,78,14.9
284,Ancud,CL,2022-04-22 08:06:02,-41.8697,-73.8203,50.23,90,100,9.44
285,Tiruchchendur,IN,2022-04-22 08:02:43,8.4833,78.1167,87.64,64,84,12.5
286,Pavlodar,KZ,2022-04-22 08:06:03,52.3,76.95,37.2,48,75,20.13
287,Belaya Gora,RU,2022-04-22 08:06:03,68.5333,146.4167,22.82,86,99,6.55
288,Galdar,ES,2022-04-22 08:06:03,28.147,-15.6502,63.36,64,54,9.22
289,Dharchula,IN,2022-04-22 08:06:04,29.85,80.5333,85.51,22,40,8.97
290,Severo-Kurilsk,RU,2022-04-22 08:06:04,50.6789,156.125,37.6,92,100,5.73
291,Ellisras,ZA,2022-04-22 08:06:05,-23.6649,27.7443,70.63,59,81,1.48
292,Yarmouth,US,2022-04-22 08:06:05,41.7057,-70.2286,51.01,86,0,10.36
293,Timaru,NZ,2022-04-22 08:06:05,-44.4,171.25,49.06,76,70,5.66
294,Mataram,ID,2022-04-22 08:06:06,-8.5833,116.1167,88.61,76,95,8.3
295,Tadine,NC,2022-04-22 08:06:06,-21.55,167.8833,74.12,70,0,9.26
