City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
415,Saint Peter,BB,81.16,scattered clouds,13.25,-59.6167,Legend Garden Condos
416,Nador,MA,61.05,clear sky,35.174,-2.9287,Hôtel La Giralda
417,Kokopo,PG,78.08,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
419,Mabaruma,GY,78.58,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
420,Pathein,MM,80.47,few clouds,16.7833,94.7333,Pathein Hotel
423,Touros,BR,78.37,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
427,Khao Yoi,TH,86.99,clear sky,13.2403,99.8243,เปิ้ล ทำเบาะ
428,Kerema,PG,77.7,scattered clouds,-7.9631,145.7785,Frena Lodge
429,Kigorobya,UG,65.62,overcast clouds,1.6162,31.3089,Docs sports lounge
430,Kigoma,TZ,72.95,light rain,-4.8769,29.6267,MJI Mwema Lodge
431,Marsa Matruh,EG,63.28,clear sky,31.3525,27.2453,Beau Site
432,Matipo,BR,72.43,overcast clouds,-20.2839,-42.3411,República DNA - Matipó MG
434,Aden,YE,82.81,clear sky,12.7794,45.0367,Sama Emirate Hotel
435,Sambava,MG,76.1,overcast clouds,-14.2667,50.1667,Melrose
438,Port Augusta,AU,64.54,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
440,San Quintin,MX,71.4,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
442,Lorengau,PG,81.43,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
443,Xixiang,CN,63.91,moderate rain,35.1628,112.865,Hongchang Rest House
444,Port Blair,IN,81.81,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
447,Dondo,MZ,78.31,clear sky,-19.6094,34.7431,Arco Iris
448,Asyut,EG,77.38,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
449,North Las Vegas,US,76.78,clear sky,36.1989,-115.1175,Lucky Club Hotel & Casino
450,Healdsburg,US,82.09,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
451,Ha Giang,VN,77.27,overcast clouds,22.8333,104.9833,Truong Xuan Resort
452,Moranbah,AU,66.11,light rain,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
453,Atar,MR,82.67,clear sky,20.5169,-13.0499,Oumou Elghoura
454,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
456,North Bend,US,65.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
459,Broken Hill,AU,60.51,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
461,Vao,NC,73.81,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
462,Mahanoro,MG,72.95,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
463,Innisfail,AU,75.92,overcast clouds,-17.5333,146.0333,Moondarra Motel
467,Yilan,TW,81.01,clear sky,24.757,121.753,Dar Chen Hotel
469,Ellsworth,US,61.12,clear sky,44.5434,-68.4195,Hampton Inn Ellsworth/Bar Harbor
470,Mandeville,JM,72.55,overcast clouds,18.0417,-77.5071,Mandeville Hotel
471,Nakambala,ZM,65.19,clear sky,-15.8324,27.7799,Staff Area
473,Sibolga,ID,76.66,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
474,Moyale,KE,68.86,overcast clouds,3.5167,39.0584,La Tahzan Guest House
476,Asfi,MA,61.16,clear sky,32.2994,-9.2372,Hôtel Abda
480,Sirjan,IR,65.53,few clouds,29.452,55.6814,MAPNA Building
481,Mangochi,MW,70.18,few clouds,-14.4782,35.2645,Fort Johnstone Hotel
482,Birjand,IR,63.07,few clouds,32.8663,59.2211,Birjand Tourist Hotel
484,Broome,US,79.57,clear sky,42.2506,-75.833,Chenango Valley State Park
485,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,Pirineos
486,Puerto Madero,MX,85.91,clear sky,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
487,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
488,Areka,ET,61.84,light rain,7.0667,37.7,Selam Hotel ሰላም ሆቴል
490,Chumphon,TH,72.97,few clouds,10.3333,98.8333,สกาน จ๋า.
491,Inhambane,MZ,74.07,clear sky,-23.865,35.3833,Oceano
493,Independencia,BR,79.34,overcast clouds,-5.3964,-40.3086,Pousada Santa Cruz
494,Dehloran,IR,77.88,broken clouds,32.6941,47.2679,کافه گیم استورم
495,Sola,VU,80.62,overcast clouds,-13.8833,167.55,Leumerus Bungalows
498,Luis Correia,BR,86.0,scattered clouds,-2.8792,-41.6669,Hotel Amarração
499,Camacha,PT,62.02,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
500,Karratha,AU,76.62,light rain,-20.7377,116.8463,ibis Styles Karratha
501,Guadalupe Victoria,MX,84.27,clear sky,32.2869,-115.105,Hotel Dial
502,Arlit,NE,88.93,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
503,Kurtalan,TR,62.53,overcast clouds,37.9272,41.7028,Kurtalan Öğretmenevi ve Akşam Sanat Okulu
507,Concepcion Del Uruguay,AR,67.51,clear sky,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
508,Manaus,BR,88.29,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
509,Hambantota,LK,80.65,broken clouds,6.1241,81.1185,Bungalow 63
510,Dicabisagan,PH,77.95,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
511,Manaure,CO,86.11,broken clouds,11.7751,-72.4445,Hotel Palaaima
512,Williams Lake,CA,61.05,broken clouds,52.1415,-122.1445,Stampeder Motel
515,Hirara,JP,78.13,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
517,Maceio,BR,81.84,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
521,Santa Isabel Do Rio Negro,BR,80.35,overcast clouds,-0.4139,-65.0192,Hotel GSA
523,Valledupar,CO,89.29,scattered clouds,10.4631,-73.2532,Hotel Arawak Upar
525,Jalu,LY,78.57,scattered clouds,29.0331,21.5482,صاحبة الفخامة
527,Cilegon,ID,78.39,broken clouds,-6.0174,106.0538,Forbis Hotel
528,Dong Hoi,VN,78.48,scattered clouds,17.4833,106.6,Nam Long Hotel
529,Riyadh,SA,75.34,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
530,Korla,CN,65.89,scattered clouds,41.7597,86.1469,Gulisitan Hotel
531,Midland,US,83.07,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
532,Wadi Musa,JO,63.25,overcast clouds,30.3222,35.4793,Petra Palace Hotel
535,Kaeo,NZ,61.32,broken clouds,-35.1,173.7833,Bushido Lodge
537,Valencia,ES,62.74,broken clouds,39.3333,-0.8333,Masia El Pino
539,Waw,SS,83.77,broken clouds,7.7029,27.9953,Universal Gab Hotel
541,Caravelas,BR,78.55,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
544,Matay,EG,74.91,clear sky,28.419,30.7792,Nag Aespen
545,Martapura,ID,77.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
548,Gunjur,GM,76.01,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
550,Chenzhou,CN,72.54,scattered clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
551,Susanville,US,62.82,clear sky,40.4163,-120.653,Comfort Inn & Suites
552,Gurupa,BR,78.44,scattered clouds,-1.405,-51.64,Hotel Vitória
555,Mitsamiouli,KM,81.25,overcast clouds,-11.3847,43.2844,Foyer ADM
561,Bandarbeyla,SO,81.36,few clouds,9.4942,50.8122,JABIR HOTEL
562,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
564,Faranah,GN,79.9,broken clouds,10.0404,-10.7434,Chez mon oncle
566,Harper,LR,81.72,overcast clouds,4.375,-7.7169,Screensaver
567,Tura,IN,73.4,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
568,Havelock,US,84.16,clear sky,34.8791,-76.9013,Sherwood Motel
569,Palauig,PH,81.64,clear sky,15.435,119.9045,Alperi Botique Resort
570,Half Moon Bay,US,80.55,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
571,Itaquyry,PY,79.97,broken clouds,-24.9333,-55.2167,Posada Santa Celina
572,Sao Filipe,CV,74.8,clear sky,14.8961,-24.4956,Hotel Xaguate
575,Huntington Beach,US,89.13,clear sky,33.6603,-117.9992,Kimpton Shorebreak Huntington Beach Resort
576,Xuddur,SO,77.58,few clouds,4.1213,43.8894,Banjanay Hotel
577,Rambha,IN,80.4,clear sky,19.5167,85.1,OTDC Panthanivas - Rambha
578,Trincomalee,LK,81.88,few clouds,8.5711,81.2335,Welcombe Hotel
579,Vallenar,CL,71.42,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
580,Mwinilunga,ZM,60.78,broken clouds,-11.7358,24.4293,Kwakuwahi Lodge
584,Cockburn Town,TC,80.56,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
585,Palmer,US,61.21,broken clouds,42.1584,-72.3287,Wedgewood Motel
587,Mana,GF,78.87,moderate rain,5.6592,-53.7767,LE SAMANA
588,Kirakira,SB,81.91,scattered clouds,-10.4544,161.9205,SanBiz Lodge
590,Panji,ID,75.36,broken clouds,-7.7253,114.0995,Rumah eni
591,Alyangula,AU,80.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
593,Gresham,US,69.66,clear sky,45.4982,-122.4315,McMenamins Edgefield
594,Alipur,PK,88.81,scattered clouds,29.3846,70.9116,"Green City Executive 1 Alipur, Muzaffargarh"
